name,family,source,task_type,seed,length,horizon,params
rossler_c8.03_s000,chaotic_flow,synthetic,forecast,91701300,800,22,"{'generator': 'rossler', 'c': 8.034330709519178, 'dt': 0.05}"
mackey_glass_tau26_s000_snr5db,chaotic_flow,synthetic,forecast,91709000,800,10,"{'generator': 'mackey_glass', 'tau': 26, 'noise_overlay': True, 'snr_db': 5.0}"
lorenz63_rho24.44_s001_snr5db,chaotic_flow,synthetic,forecast,91709003,800,13,"{'generator': 'lorenz63', 'rho': 24.441336541926837, 'dt': 0.02, 'noise_overlay': True, 'snr_db': 5.0}"
henon_a1.388_s001,chaotic_map,synthetic,forecast,91701501,800,1,"{'generator': 'henon', 'a': 1.3880523536315548, 'b': 0.3}"
ikeda_u0.754_s000,chaotic_map,synthetic,forecast,91702900,800,2,"{'generator': 'ikeda_map', 'u': 0.7544105562190074}"
sine_map_a0.844_s001,chaotic_map,synthetic,forecast,91703101,800,186,"{'generator': 'sine_map', 'a': 0.8438190965470652}"
colored_noise_b0.627_s000,colored_noise,synthetic,forecast,91702400,800,2,"{'generator': 'colored_noise', 'beta': 0.6273846643206147}"
colored_noise_b1.950_s001,colored_noise,synthetic,forecast,91702401,800,81,"{'generator': 'colored_noise', 'beta': 1.949639414987032}"
narma05_s001,input_driven,synthetic,input_driven,91701601,800,1,"{'generator': 'narma', 'order': 5}"
nonlinear_ipc_d3_l15_s000,input_driven,synthetic,input_driven,91701800,800,1,"{'generator': 'nonlinear_ipc', 'degree': 3, 'lags': [1, 7, 15]}"
nonlinear_ipc_d2_l11_s001,input_driven,synthetic,input_driven,91701801,800,1,"{'generator': 'nonlinear_ipc', 'degree': 2, 'lags': [1, 5, 11]}"
ar2_s001,linear_stochastic,synthetic,forecast,91702101,800,3,"{'generator': 'ar', 'phi': [-0.47894114420231626, 0.1415042363994359]}"
seasonal_ar_s39_000,linear_stochastic,synthetic,forecast,91704200,800,1,"{'generator': 'seasonal_ar', 'season': 39, 'seasonal_phi': 0.4494402227377893}"
seasonal_ar_s28_001,linear_stochastic,synthetic,forecast,91704201,800,67,"{'generator': 'seasonal_ar', 'season': 28, 'seasonal_phi': 0.8447510109453087}"
fbm_h0.596_s001,long_range,synthetic,forecast,91702301,800,1,"{'generator': 'fbm', 'H': 0.5959565097147507}"
fbm_h0.852_s000_snr10db,long_range,synthetic,forecast,91709010,800,3,"{'generator': 'fbm', 'H': 0.852498698197242, 'noise_overlay': True, 'snr_db': 10.0}"
fbm_h0.596_s001_snr20db,long_range,synthetic,forecast,91709011,800,1,"{'generator': 'fbm', 'H': 0.5959565097147507, 'noise_overlay': True, 'snr_db': 20.0}"
garch_a0.031_b0.872_s001,nonlinear_stochastic,synthetic,forecast,91702201,800,1,"{'generator': 'garch', 'omega': 0.05, 'alpha': 0.030565100544574987, 'beta': 0.8724854881315609}"
egarch_a0.07_b0.70_s001,nonlinear_stochastic,synthetic,forecast,91704401,800,1,"{'generator': 'egarch', 'alpha': 0.06661390279651559, 'beta': 0.7025117642856124}"
bilinear_a0.50_b-0.06_s000,nonlinear_stochastic,synthetic,forecast,91704600,800,2,"{'generator': 'bilinear', 'a': 0.5018951831621663, 'b': -0.055780913186066705}"
regime_switch_ar_p0.021_s000,nonstationary,synthetic,forecast,91702600,800,1,"{'generator': 'regime_switch_ar', 'p_switch': 0.020552240911047834, 'phis': [(0.8168649966349182, -0.06516039240780436), (-0.4893716261690294, 0.23483960759219563)], 'sigmas': [0.25, 0.5]}"
level_shift_k3_s001,nonstationary,synthetic,forecast,91705001,800,67,"{'generator': 'level_shift', 'n_shifts': 3, 'magnitude': 1.0104201069167493}"
intermittent_p0.17_s000,nonstationary,synthetic,forecast,91705100,800,2,"{'generator': 'intermittent_demand', 'p_event': 0.17024616241245882, 'burst_scale': 2.0125894267505657}"
quasi_periodic2_s000,oscillatory,synthetic,forecast,91702000,800,5,"{'generator': 'quasi_periodic', 'n_freqs': 2}"
damped_f0.033_d0.0059_s001,oscillatory,synthetic,forecast,91704901,800,6,"{'generator': 'damped_oscillator', 'freq': 0.032984613500216156, 'damping': 0.005925521089191062}"
mso3_s001_snr5db,oscillatory,synthetic,forecast,91709009,800,4,"{'generator': 'mso', 'n_freqs': 3, 'noise_overlay': True, 'snr_db': 5.0}"
